[individuals]
15
[landmarks]
29
[Dimensions]
3
[names]
567UF
1058UF
1024UF
568UF
537UF
222UF
216UF
556UF
555UF
573UF
1066UF
1007UF
1005UF
1008UF
1061UF 
[rawpoints]
'#567UF
14.8026	-7.4802	2.7553
14.19	-7.3329	2.9002
14.0566	-7.3078	2.7092
13.4815	-6.5234	2.8325
13.356	-6.4054	2.8362
12.7472	-5.7832	2.6386
11.7111	-4.5154	2.6375
11.65	-3.0204	2.6881
14.4513	-7.0324	3.1529
13.665	-6.0455	3.2839
13.0946	-5.8274	3.3079
13.6775	-5.1679	3.5922
12.7204	-5.0154	3.941
12.3631	-5.275	3.3716
12.4756	-4.4706	3.4083
12.7703	-4.1856	4.1105
12.7219	-3.5104	3.5227
12.2551	-3.7866	3.6136
14.4917	-7.0021	2.8448
14.4406	-6.868	2.6934
13.9384	-5.6857	2.6976
13.6798	-5.0531	2.71
13.0843	-4.0022	3.0204
12.934	-3.8489	3.1705
13.0777	-3.6828	3.0501
12.7562	-2.9766	2.9963
12.8584	-2.8625	2.7403
12.3857	-2.8031	2.7151
13.8037	-5.5183	3.026
'#1058UF
14.7694	-7.2827	2.7664
14.1059	-7.163	2.8835
14.0358	-7.1155	2.664
13.3564	-6.3677	2.8038
13.2404	-6.2751	2.8062
12.62	-5.7467	2.6419
11.5749	-4.3714	2.6018
11.5434	-2.8926	2.6716
14.3737	-6.8313	3.1726
13.6136	-5.95	3.3252
12.93	-5.7485	3.2615
13.4976	-5.0943	3.5963
12.5445	-4.9156	3.9143
12.2394	-5.1325	3.3046
12.2671	-4.3598	3.4012
12.7019	-4.0257	4.0744
12.6058	-3.4227	3.5079
12.0927	-3.7101	3.5956
14.4413	-6.8151	2.8391
14.3869	-6.6658	2.6965
13.8313	-5.5795	2.7126
13.5217	-4.8907	2.7395
12.9687	-3.9417	3.0036
12.8397	-3.7855	3.1699
12.9713	-3.649	3.0097
12.6685	-2.9732	3.0033
12.7512	-2.7577	2.7861
12.2667	-2.7061	2.7448
13.6867	-5.4083	3.0877
'#1024UF
14.6157	-7.5935	2.7897
13.9886	-7.4388	2.8997
13.8928	-7.41	2.6694
13.2813	-6.543	2.7549
13.0365	-6.2724	2.7448
12.5446	-5.7427	2.6327
11.5393	-4.3592	2.572
11.4897	-2.8032	2.6776
14.2339	-7.1183	3.1582
13.4587	-6.1321	3.2398
12.8488	-5.8463	3.2899
13.421	-5.2193	3.5938
12.4235	-5.032	3.9264
12.1322	-5.2124	3.3588
12.2344	-4.4091	3.4082
12.5625	-4.1057	4.0996
12.5383	-3.5185	3.6103
12.0613	-3.728	3.628
14.3298	-7.1152	2.8537
14.2598	-6.9528	2.7028
13.7637	-5.7102	2.7726
13.5231	-4.9742	2.7938
12.8964	-3.9283	3.0789
12.7446	-3.7953	3.2485
12.9041	-3.6651	3.1081
12.6067	-2.9559	3.1178
12.6801	-2.7741	2.8769
12.1711	-2.6729	2.7989
13.5819	-5.532	3.0913
'#568UF
14.6171	-7.4859	2.7812
13.9976	-7.2889	2.9108
13.8806	-7.2727	2.7014
13.2683	-6.4311	2.8238
13.2251	-6.3852	2.8284
12.5823	-5.6826	2.6316
11.5865	-4.3447	2.5936
11.5841	-2.804	2.6618
14.2654	-6.98	3.1759
13.5397	-5.9367	3.3498
12.8924	-5.7072	3.3302
13.5524	-5.0867	3.6101
12.5478	-4.8843	3.9271
12.2062	-5.1352	3.3855
12.319	-4.2778	3.3954
12.6782	-3.9871	4.069
12.6149	-3.4115	3.4989
12.1113	-3.6797	3.568
14.3556	-6.9943	2.8521
14.3007	-6.8167	2.6974
13.7762	-5.5823	2.7089
13.5517	-4.9373	2.7366
12.9263	-3.8345	2.9891
12.7806	-3.703	3.1484
12.9257	-3.5793	3.0238
12.6102	-2.8994	3.0126
12.721	-2.7678	2.7752
12.2544	-2.6839	2.7349
13.6418	-5.344	3.0581
'#537UF
16.4043	-9.6031	2.7976
15.731	-9.5652	2.9106
15.6014	-9.505	2.6742
14.918	-8.7968	2.798
14.6849	-8.606	2.7959
14.0333	-8.0387	2.5842
12.9118	-6.7343	2.531
12.714	-5.1341	2.6573
15.9619	-9.1924	3.2053
