id,population,sex,zygomatic_width,cranial_vault_width,upper_jaw_width,total_skull_length,snout_length,cranial_vault_height,endocranial_volume,face_geometric_mean,centroid_size
181,Domesticated,F,68.1,48,42.29,138.1,73.5,45.1,52.5,59.6,9.197332
193,Domesticated,F,68.3,46.1,41.6,141,73.2,44,48,59.25,9.357937
217,Domesticated,F,69.12,47.11,41.2,144.1,73.66,46.58,48.9,59.42,9.457631
254,Domesticated,F,72.1,48,42.26,148.2,78,46.4,54.8,61.94,9.970235
285,Domesticated,F,70.4,45.5,42.43,145,75.5,45.2,48.2,60.87,9.582434
288,Domesticated,F,72.77,49.14,44.52,146.51,75.86,44.49,44.2,62.64,9.711656
308,Domesticated,F,69.7,47.9,41.94,142,73.8,44.9,46.1,59.98,9.579303
399,Domesticated,F,70.86,45.18,43.42,142.11,74.81,45.67,44.8,61.28,9.33287
429,Domesticated,F,71.9,48,43.46,145,76.2,46,50,61.98,9.673932
448,Domesticated,F,66.9,48.5,40.64,142.1,75.7,44.9,50,59.04,9.471196
476,Domesticated,F,68.5,45.5,41.88,138.7,73.1,44.2,42.1,59.41,9.324042
481,Domesticated,F,68.9,46,41.73,146.5,75,45.9,47.7,59.97,9.681159
493,Domesticated,F,69,47.3,41.45,136,70.6,43.5,45.3,58.67,9.137531
519,Domesticated,F,69.49,48.42,43.14,146.06,76.72,45.58,52.3,61.27,9.609188
601,Domesticated,F,69.2,45,42.12,142,73.8,46.5,52.1,59.92,9.531208
11,Domesticated,M,67.5,47.5,40.9,147.1,74.5,47.1,54.5,59.03,9.742435
12,Domesticated,M,78.1,49,47.2,150.5,80,47.8,53.2,66.56,9.989554
23,Domesticated,M,74.2,49.7,44.8,151,77.3,48.1,57.9,63.58,9.986143
28,Domesticated,M,74.5,50.1,44.5,158.7,82.7,47.5,61.8,64.96,10.412773
47,Domesticated,M,72.6,47.5,42.8,153,78.5,47.9,52.9,62.48,10.080526
48,Domesticated,M,75,48,45.6,158.5,82,48.1,54.6,65.46,10.360332
59,Domesticated,M,71.5,45.5,45.3,151.4,76.7,44.7,46.5,62.86,10.015557
61,Domesticated,M,70,46,42.9,145.8,73.9,46.1,47.5,60.54,9.747628
81,Domesticated,M,78.2,49,47.9,158.2,82,50.2,54,67.47,10.425307
82,Domesticated,M,74,48.1,43.8,153.7,75.2,44.7,51.2,62.47,10.051632
91,Domesticated,M,71.9,47.7,43.1,150.7,77.4,49.1,47.6,62.13,9.737534
98,Domesticated,M,75.1,47.7,45.7,151.4,79,49.3,51.8,64.72,10.119336
99,Domesticated,M,74.1,46,45.2,150.7,78.7,48.5,49.9,64.12,10.004873
117,Domesticated,M,75.1,48.5,45.2,152.3,78,47.6,51.5,64.21,9.983929
128,Domesticated,M,74.5,47.1,43.8,152.4,76,47,51.1,62.83,10.046525
216,Unselected,F,66.72,46.13,40.78,136.38,70.09,42.59,42.1,57.56,9.070266
222,Unselected,F,70.57,46.25,42.89,138.07,71.4,43.3,42.2,60.01,9.145439
537,Unselected,F,68.5,46.1,41.4,146.7,74.8,45,46.1,59.64,9.709054
555,Unselected,F,68.9,45.4,40.71,142.1,71.7,45.6,48.8,58.59,9.331855
556,Unselected,F,72.1,47.3,43.54,151.4,78.5,46.5,54.2,62.69,9.933344
567,Unselected,F,67.2,47,42.18,137.9,72.5,45.3,47.9,59.01,9.262287
568,Unselected,F,69.3,45,41.96,141.3,74.1,43.9,46,59.95,9.386409
573,Unselected,F,69.1,47.1,44.59,138.7,72,44.5,49,60.54,9.182644
1005,Unselected,F,67,44.8,40.63,141.3,72.4,44.1,42.9,58.2,9.306381
1007,Unselected,F,70.5,46.9,40.35,140.8,70.1,43.9,48.5,58.42,9.031059
1008,Unselected,F,69.17,46.18,41.62,141.02,72.09,44.59,44.6,59.21,9.278469
1024,Unselected,F,68.91,47.12,40.08,145.36,75.55,45.48,52.4,59.31,9.561563
1058,Unselected,F,67.77,46.22,41.35,137.83,71.39,47.18,48.1,58.49,9.162883
1061,Unselected,F,71.45,46.77,42.42,150.18,77.27,45.57,49,61.64,9.886207
1066,Unselected,F,70,46.6,43.41,140.8,73.1,44.7,49.3,60.56,9.425207
136,Unselected,M,74.37,47.58,44.88,151.93,75.67,47.42,49.1,63.21,9.814477
139,Unselected,M,71.8,47.3,44.09,149.5,76.2,47.1,53.1,62.25,9.778386
154,Unselected,M,73.2,45.2,45.3,145.9,75.1,45.2,43,62.91,9.671199
161,Unselected,M,74.5,47,45.4,152.2,75.9,48.2,51.9,63.56,9.997481
165,Unselected,M,76.62,48.17,45.59,156.53,80.47,48.55,53.7,65.51,10.284924
169,Unselected,M,79.18,48.77,47.07,156.94,81.28,47.87,54.3,67.16,10.314901
179,Unselected,M,74.3,46.41,44.96,154.2,80.21,48.2,48.3,64.47,10.299657
180,Unselected,M,75,46.7,44.03,151.3,78.1,47.1,45.6,63.65,10.084043
1178,Wild,F,67.46,47.08,42.16,145.09,77.16,45.15,54.5,60.32,9.512312
1992,Wild,F,63.89,46.07,39.81,131.2,69.05,42.6,48.2,56,8.762746
3793,Wild,F,60.12,47.91,38.37,128.42,66.95,44.1,48.5,53.65,8.458134
3794,Wild,F,63.73,49.75,38.91,136.58,73.74,43.37,55.8,56.76,9.098052
3795,Wild,F,64.2,43.12,40.68,130.57,69.54,43.05,41.7,56.63,8.627049
7471,Wild,F,62.24,46.77,38.98,130.86,69.47,43.75,49.9,55.24,8.84494
31933,Wild,F,69.29,48.84,40.8,129.1,69.5,43.4,48.3,58.14,8.69372
42388,Wild,F,69.27,47.37,40.84,135.9,73.5,44.7,53.5,59.24,9.304467
1991,Wild,M,69.77,49.53,42.58,141.6,74.9,43.7,55.9,60.6,9.297535
2001,Wild,M,73.03,47.49,42.6,147.3,77,45.2,55.9,62.11,9.630482
3791,Wild,M,63.68,47.12,41.13,138.9,72.8,43.5,48.9,57.55,9.195868
3792,Wild,M,62.13,46.63,40.94,138.3,72.7,43.3,46.2,56.96,9.132929
4299,Wild,M,72.85,47.92,42.97,136.6,71.9,45.2,49,60.82,9.31276
6952,Wild,M,66.78,48.18,40.52,140.8,73.5,44.2,52.7,58.37,9.271799
8963,Wild,M,73.64,49.42,45.22,150,80.4,47.9,58.6,64.45,10.122606
8965,Wild,M,66.49,49.11,40.54,135.8,71.9,45,56.6,57.86,9.030951
42508,Wild,M,71.62,47.63,42.96,154.3,80.1,46.8,55.5,62.68,10.207778
47485,Wild,M,73.14,48.69,43.66,145.2,74.7,45.1,53.9,62.02,9.731298
52832,Wild,M,67.45,46.93,40.32,131.8,70.2,41.2,45.1,57.59,8.805545
60057,Wild,M,68.73,49.39,39.64,145.6,75.7,44,53.6,59.08,9.644217
